HEADER,Raster Number, RF Direction,Polarization,Date,Time,
,0,Rx,Horizontal,2019/03/04,22:10:19
position BS1 1.000, position BS2 1.000, position RT1 0.076
AO settings empty
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
5280000000,-42.275593,143.07863,0.083779842,-0.51480544,0.029220911,0.66112584,-47.982262,64.295479
5285000000,-41.426773,146.19673,0.086140104,-0.55100697,0.027335929,0.69491166,-53.838943,89.28466
5290000000,-44.162403,144.02213,0.086623527,-0.5625065,0.021840012,0.71459216,-47.177044,88.476982
5295000000,-42.888329,138.94749,0.068198457,-0.52324343,0.02807834,0.69167042,-48.861111,101.2591
5300000000,-43.259369,126.1981,0.082663283,-0.60374177,0.024182269,0.63778216,-45.672943,76.101433
5305000000,-46.331696,148.54184,0.077186689,-0.52115583,0.025118828,0.67234427,-50.744499,89.448326
5310000000,-45.856243,156.06219,0.075172707,-0.54651904,0.035831772,0.61919457,-43.231384,83.263145
5315000000,-44.782555,119.73875,0.084564641,-0.50590974,0.027931308,0.63923585,-47.433002,107.87116
5320000000,-47.753185,101.93539,0.10069603,-0.51478463,0.026800508,0.65760159,-45.050301,89.315514
5325000000,-44.886921,143.4635,0.084751099,-0.5561437,0.022246415,0.67726976,-46.160255,96.343559
5330000000,-50.335785,122.37098,0.088805385,-0.51314801,0.033633377,0.69314104,-46.091957,96.862328
5335000000,-47.548145,151.8044,0.08151298,-0.58719456,0.031040873,0.6679703,-45.912033,95.133827
5340000000,-48.744686,164.86269,0.087043568,-0.49566123,0.028106555,0.71186829,-46.260422,89.755295
5345000000,-47.627655,136.92075,0.089638114,-0.53927779,0.017915778,0.71003544,-45.953671,85.38958
5350000000,-50.316311,147.29912,0.10240953,-0.48399165,0.018923562,0.58807248,-46.429928,103.65286
5355000000,-45.431679,160.50444,0.085574798,-0.57754815,0.029853659,0.7666384,-46.957531,98.112282
5360000000,-43.279926,168.2724,0.098967977,-0.56554115,0.027918104,0.65324426,-46.906879,112.71014
5365000000,-44.597179,146.34221,0.099730417,-0.52198106,0.017921271,0.6588614,-46.205158,106.15993
5370000000,-43.952862,131.52631,0.074203774,-0.45525783,0.028940644,0.66315007,-48.401154,94.880806
5375000000,-42.612179,120.74136,0.09239243,-0.51424646,0.02898982,0.74756163,-44.232578,111.03698
5380000000,-43.896969,154.3838,0.082721055,-0.55091524,0.031974409,0.77084076,-46.969051,121.3279
5385000000,-43.815006,126.00027,0.094106406,-0.55766732,0.023891835,0.67335087,-45.46904,118.18281
5390000000,-42.229805,110.4704,0.096599713,-0.52435851,0.028931435,0.66846788,-43.972927,118.7898
5395000000,-44.339359,112.21954,0.087139636,-0.54104429,0.029031061,0.64744133,-46.254852,130.81209
5400000000,-44.509117,116.07542,0.094011821,-0.45409349,0.013140371,0.62712198,-44.341415,123.92332
5405000000,-44.602425,129.17838,0.096928023,-0.61950386,0.030561937,0.65847015,-49.225246,124.12901
5410000000,-44.236214,120.53349,0.084484406,-0.47976962,0.022365864,0.64397448,-45.677181,128.89075
5415000000,-46.046684,120.60709,0.094935775,-0.46175656,0.03980663,0.67996943,-46.027817,127.15733
5420000000,-45.712288,125.3214,0.098540574,-0.54286671,0.02811452,0.6961965,-46.656437,122.75007
